text,drugs,symptoms,relations
"Severe infection resulting in 3 root canals. Currently taking 300mg of clindamycin every 6 hours. Some nausea and diarrhea with use. I am on day 3 of 10. I am also taking hydrocodone 5/325 every 6 hours for pain. Increased dizziness and sleepiness with use. I am allergic to meds in penicillin family, so clindamycin is the go to.  I was also given a iv bag of the antibiotic vancomycin before dental surgery.","['vancomycin', 'penicillin', 'clindamycin', 'hydrocodone']","['diarrhea', 'Increased dizziness', 'Severe infection', 'nausea', 'pain', 'sleepiness']","[('clindamycin', 'has_adverse_drug_reaction', 'diarrhea'), ('hydrocodone', 'has_negative_reaction', 'Increased dizziness'), ('hydrocodone', 'has_negative_reaction', 'sleepiness'), ('clindamycin', 'has_adverse_drug_reaction', 'nausea')]"
I have been on warfarin for 3 weeks and taking Lovenox too. I get my blood check every 2 days and it still hasn't gone up to 2.0 the highest it has been is 1.7. The other day I noticed a bald patch on my head. I have read many reviews about this and was wondering if it is permanent are when you go off of the warfarin the hair grows back,"['warfarin', 'Lovenox']",['bald patch on my head'],[]
"I am a Type II diabetic on NPH insulin, 18 units twice daily. 4 weeks ago my A1C was 8.4 My last A1C before that was 7.1  I believe the warfarin is elevating my blood sugar level. Is this a known side effect?","['warfarin', 'NPH insulin']",['elevating my blood sugar level'],[]
"Woken up by leg cramp type pain, that last for 24 hours before going to ER.Hospitalized for ten days, Heparin was used there warfarin perscribed on discharge.Made appointments with primary care Phsycian and hematologist. And blood test done and lost going to my Primary and my Cardiologist got into to being I mentioned it after taking a drug induced stress test.And still taking Warfarin and weekly PT w/INR test.My adfvise to any one do not get two doctors involved in such a thing as much running that you'll be doing you will'nt be able to satisify the testing and appointment schedule and be able to rest suficently.Read More Read Less","['Warfarin', 'warfarin', 'Heparin']",['leg cramp type pain'],[]
"I cannot say that I'm satisfied with the use of warfarin because it is so dangerous...can you say ""RAT POISON""?  I had double knee replacement and they transfused my drainage blood back into my arm and I wound up with several clots in my lung.  The warfarin has affected my hypoglcemia, making me shaky and dizzy when my blood sugar gets low;  it interferes with other rheumatoid arthritis meds I need to take and lately I've been having bad headaches...so it is NOT without its bad side.  I just wish I knew for sure if it is working and if I can ever come off it !   Has ANYONE EVER had a 2nd CT scan and found that the clots were gone and come off the drug successfully? Read More Read Less",['warfarin'],"['shaky', 'bad headaches', 'dizzy', 'affected my hypoglcemia', 'several clots in my lung']","[('warfarin', 'has_negative_reaction', 'affected my hypoglcemia'), ('warfarin', 'has_adverse_drug_reaction', 'shaky'), ('warfarin', 'has_adverse_drug_reaction', 'dizzy'), ('warfarin', 'has_adverse_drug_reaction', 'bad headaches')]"
"I had back surgery with a greenfield filter implant. This was used to prevent blood clots; of which I never had. Then I had a blood clot to go through my lung. The teck found eight blood clots in my left leg. My blood now is very thick and I have small veins; if the nurse can find any at all to check my warfarin level. Then she has a hard time getting my blood out When I go to the hospital the doctor has to use a pick line for IV's and to withdraw blood. On top of that it makes me sick. I get hot, sweat, nauseated to the point I have to lay down. I also take Lovenox when I have to have a pain injection because I have to be off the warafin for seven to fourteen day so my blood clots timely. Then I start on the warfarin again until the next injection. This happens once a month for three months straight. Read More Read Less","['warfarin', 'Lovenox']","['small veins', 'blood now is very thick', 'sweat', 'blood clot to go through my lung', 'hot', 'nauseated', 'blood clots', 'makes me sick', 'eight blood clots in my left leg']",[]
"Had a heart attach in 1989 and have been on statins (lipator,crestor and pravastatin) for almost twenty years. They did NOT prevent me from having two stents put in in 2005. Have been in constant pain (joints & muscle) for several years and had no energy whatsoever.. Thought pain was caused by arthritis. I've been ""eating"" ibuprofen to manage the pain. Finally threw all the statins away and have been statin free for 10 days now. Enjoy life again, no pain and have not taken an ibuprofen in 10 days! Still have little twinges of arthritis in the knees and shoulders once in a while but absolutely no more constant pain every time I move or sit still for any period of time. Regardless of what the doctors say, NO MORE statins for me! Quality of life in important too!!!!!!!!!!!!!!Read More Read Less","['ibuprofen', 'statins', 'pravastatin', 'crestor', 'lipator']","['arthritis', 'constant pain (joints & muscle)', 'no energy whatsoever', 'heart attach', 'pain', 'twinges of arthritis in the knees and shoulders']","[('ibuprofen', 'has_positive_reaction', 'pain')]"
"since being on this med. along with zedia I feel like I've aged 50 years in the 2 years I've been on them.  I have constant buzzing in my head, can't sleep because of cramps, neck and shoulder pain, Nausa pain in stomach.numbness in legs and arms. Just too many to list.  As of today I am stopping both the zetia and pravastatin.  Going back for blood work next month.","['zedia', 'zetia', 'pravastatin']","['cramps', 'pain in stomach', 'Nausa', 'neck and shoulder pain', ""can't sleep"", 'constant buzzing in my head', 'numbness in legs and arms']",[]
"After 2 months of taking Oral Pravastain I have stomach and back pain.  I was fine for the 1st month, but the pain started gradually and now I have pain while I walk, sit, and sleep. I have experience dry mouth and a rash around my neck. I'm ending my relationship with pravastatin with a call to my Dr. on Monday(3/1/10). I'm Age 54. I don't know if the medication has been effective because no blood test has been completed since start date. I take 10mg and my husband(age-55)takes simvastatin, 20mg.  His cholesterol went from 240 to 140 in 2 months.Read More Read Less","['pravastatin', 'Pravastain', 'simvastatin']","['rash around my neck', 'stomach and back pain', 'pain while I walk, sit, and sleep', 'dry mouth']","[('Pravastain', 'has_adverse_drug_reaction', 'stomach and back pain'), ('Pravastain', 'has_adverse_drug_reaction', 'pain while I walk, sit, and sleep'), ('Pravastain', 'has_adverse_drug_reaction', 'dry mouth'), ('Pravastain', 'has_adverse_drug_reaction', 'rash around my neck')]"
"First before I say anything this medicine did get rid of my urinary track infection because cipro could not.  I started taking macrobid because I had a urinary track infection and I took it for a week and it caused severe constipation but the pharmacist said what caused that was because I was taking phenazopyrid and the two combined can cause constipation, ok well when I stopped taking the phenazopyrid I still had constipation,  Anyway I was glad to stop taking it! Now I am wondering after I have been off of it for a week can I still get side effects from it?    About a week ago I started using a new soap and I started itching this week really badly and thought well maybe it was the soap, my husband got me some new soap for sensitive skin and then I put lotion on after that and I am still itching all over and I mean all over in every place. Could this be caused by macrobid even after a week off of it?Read More Read Less","['macrobid', 'cipro', 'phenazopyrid']","['itching all over', 'urinary track infection', 'constipation']","[('cipro', 'has_negative_reaction', 'urinary track infection')]"
